"","Order_all","Family_all","Genus_all","Species_all","Breeding_system","Compatibility_system","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Corolla_diameter_mean","Corolla_length_mean","Style_length","Ovule_number","life_form","lifespan","Plant_height_mean_m","Nectar_presence_absence"
"Ludvigia polycarpa","Myrtales","Onagraceae","Ludwigia","Ludwigia polycarpa","Hermaphrodite","self_compatible","low",14.1462464285714,"Open","actinomorphic",35,7.1,4,0.65,9,"herb","Perennial",0.475,"yes"
"Saxifraga caespitosa","Rosales","Rosaceae","Luetkea","Luetkea pectinata","Hermaphrodite","self_compatible","low",14.6421083333333,"Open","actinomorphic",15,5.5,1.5,1,5,"shrub","Perennial",0.15,"yes"
"Lupinus angustifolius","Fabales","Fabaceae","Lupinus","Lupinus angustifolius","Hermaphrodite","self_compatible","none",0,"Papilionaceous","zygomorphic",25,12.5,12.5,15.2,4,"herb","Short lived",0.45,"no"
"Lupinus polyphyllus","Fabales","Fabaceae","Lupinus","Lupinus polyphyllus","Hermaphrodite","self_compatible","low",10.69095,"Papilionaceous","zygomorphic",40,12.1,13,10.5,7,"herb","Perennial",1,"no"
"Lycium chilense","Solanales","Solanaceae","Lycium","Lycium chilense","Hermaphrodite","partially_self_compatible","low",11.0148105042017,"Campanulate","actinomorphic",1000,10,6.25,8,33,"shrub","Perennial",0.5,"yes"
"Lycium_gilliesianum","Solanales","Solanaceae","Lycium","Lycium gilliesianum","Hermaphrodite","partially_self_compatible","low",12.54145,"Tube","actinomorphic",1000,3,12.5,12.8,33,"shrub","Perennial",0.9,"yes"
"Lycium_tenuispinosum","Solanales","Solanaceae","Lycium","Lycium tenuispinosum","Hermaphrodite","partially_self_compatible","low",10.4142105042017,"Campanulate","actinomorphic",1000,10,6,12,33,"shrub","Perennial",1.5,"yes"
"Lycopersicon cheesmanii minor","Solanales","Solanaceae","Lycopersicon","Lycopersicon cheesmanii","Hermaphrodite","self_compatible","low",12.964418452381,"Open","actinomorphic",20,22.1,2,5.5,45,"herb","Perennial",1,"no"
"Lycopus americanus","Lamiales","Lamiaceae","Lycopus","Lycopus americanus","Hermaphrodite","self_compatible","high",88,"Tube","actinomorphic",60,2,2.5,4.5,4,"herb","Perennial",2.15,"yes"
"Trientalis europaea","Ericales","Primulaceae","Trientalis","Lysimachea europaea","Hermaphrodite","self_compatible","low",13.147893452381,"Open","actinomorphic",5,13.1,1.1,5,19,"herb","Perennial",0.12,"no"
"Steironema ciliatum","Ericales","Primulaceae","Lysimachia","Lysimachia ciliata","Hermaphrodite","self_compatible","low",13.7352142857143,"Open","actinomorphic",15,25,5.1,5,30,"herb","Perennial",0.4,"no"
"Steironema lanceolatum","Ericales","Primulaceae","Lysimachia","Lysimachia lanceolatum","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",30,19.1,31.12,5,30,"herb","Perennial",0.55,"no"
"Lysimachia mauiriana","Ericales","Primulaceae","Lysimachia","Lysimachia mauritiana","Hermaphrodite","self_compatible","low",17.9190333333333,"Campanulate","actinomorphic",100,10.1,4,5,30,"herb","Short lived",0.3,"no"
"Lysimachia vulgaris","Ericales","Primulaceae","Lysimachia","Lysimachia vulgaris","Hermaphrodite","partially_self_compatible","low",13,"Open","actinomorphic",30,17.5,9.5,4.5,30,"herb","Perennial",0.9,"yes"
"Lythrum alatum","Myrtales","Lythraceae","Lythrum","Lythrum alatum","Hermaphrodite","partially_self_compatible","low",12.801674137931,"Tube","zygomorphic",20,10.5,7.8,0.6,80,"herb","Perennial",0.5,"yes"
