"","Order_all","Family_all","Genus_all","Species_all","Breeding_system","Compatibility_system","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Corolla_diameter_mean","Corolla_length_mean","Style_length","Ovule_number","life_form","lifespan","Plant_height_mean_m","Nectar_presence_absence"
"Polygonum scandens","Caryophyllales","Polygonaceae","Fallopia","Fallopia scandens","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",600,5.1,3.1,1,1,"herb","Perennial",3,"yes"
"Farfugium joponicum","Asterales","Asteraceae","Farfugium","Farfugium joponicum","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",60,25,20,5.1,30,"herb","Perennial",0.4,"yes"
"Faujasiopsis flexuosa","Asterales","Asteraceae","Faujasiopsis","Faujasiopsis flexuosa","Hermaphrodite","partially_self_compatible","low",13.45645,"Capitulum","actinomorphic",70,3.3,6.84258333333333,6,40,"shrub","Perennial",1.5,"no"
"Filipendula ulmaria","Rosales","Rosaceae","Filipendula","Filipendula ulmaria","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",600,6.5,0.5,1.25,2,"herb","Perennial",0.85,"no"
"Flagellaria indica","Poales","Flagellariaceae","Flagellaria","Flagellaria indica","Hermaphrodite","self_compatible","low",10.80147,"Campanulate","actinomorphic",150,2.5,2.1,1,3,"vine","Perennial",7.5,"no"
"Fragaria virginiana illinoensis","Rosales","Rosaceae","Fragaria","Fragaria virginiana","Dioecious","self_compatible","low",14.591,"Open","actinomorphic",5,15.5,1.4,1,100,"herb","Perennial",0.9,"yes"
"Frasera carolinensis","Gentianales","Gentianaceae","Frasera","Frasera caroliniensis","Hermaphrodite","self_compatible","low",17.9,"Open","actinomorphic",75,24,6.24225,5,10,"herb","Perennial",1.65,"yes"
"Fraxinus americanus","Lamiales","Oleaceae","Fraxinus","Fraxinus americana","Dioecious","dioecious","none",0,"Open","actinomorphic",13946.2298611111,3,10,1,4,"tree","Perennial",22.5,"no"
"Freesia refracta","Asparagales","Iridaceae","Freesia","Freesia refracta","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",30,31.1,26,10,4,"herb","Perennial",0.35,"yes"
"Fumaria_capreolata","Ranunculales","Papaveraceae","Fumaria","Fumaria capreolata","Hermaphrodite","self_compatible","low",13.38425,"Tube","zygomorphic",75,2,12,12,1.5,"vine","Perennial",0.45,"yes"
"Gaertnera petrinensis","Gentianales","Rubiaceae","Gaertnera","Gaertnera petrinensis","Hermaphrodite","self_incompatible","low",9.754075,"Tube","actinomorphic",500,10,15,7.5,2,"shrub","Perennial",1.25,"yes"
"Gaertnera psychotrioides/edentata","Gentianales","Rubiaceae","Gaertnera","Gaertnera psychotrioides","Hermaphrodite","self_incompatible","low",13,"Tube","actinomorphic",500,10,12.5,12.5,2,"tree","Perennial",6.3,"yes"
"Gaertnera rotundifolia","Gentianales","Rubiaceae","Gaertnera","Gaertnera rotundifolia","Hermaphrodite","self_incompatible","low",13,"Tube","actinomorphic",500,2.5,20,15.25,2,"shrub","Perennial",3.5,"yes"
"Galactea striata","Fabales","Fabaceae","Galactia","Galactia striata","Hermaphrodite","self_compatible","low",13.0846642857143,"Papilionaceous","zygomorphic",50,8,5.1,5,12,"vine","Perennial",2.3,"yes"
"Galactites tomentosa","Asterales","Asteraceae","Galactites","Galactites tomentosus","Hermaphrodite","self_compatible","low",17.77355,"Capitulum","actinomorphic",3,60,16.5,10,30,"herb","Short lived",0.275,"yes"
"Galactophora schomburgkiana","Gentianales","Apocynaceae","Galactophora","Galactophora schomburgkiana","Hermaphrodite","self_compatible","low",11.0111574712644,"Tube","actinomorphic",3,25,58.5,20,169.566294871795,"vine","Perennial",1.25,"yes"
"Orchis spectabilis","Asparagales","Orchidaceae","Galearis","Galearis spectabilis","Hermaphrodite","partially_self_compatible","none",0,"Tube","zygomorphic",5,20,25,0.1,25000,"herb","Perennial",4.5,"yes"
"Galeopsis bifida","Lamiales","Lamiaceae","Galeopsis","Galeopsis bifida","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",15,7,13.5,10,4,"herb","Short lived",0.45,"yes"
"Galium aperine","Gentianales","Rubiaceae","Galium","Galium aparine","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",35,1.5,1,0.45,2,"herb","Short lived",1,"yes"
"Galium palustre","Gentianales","Rubiaceae","Galium","Galium palustre","Hermaphrodite","self_incompatible","low",13,"Open","actinomorphic",50,4,1,0.8,2,"herb","Perennial",0.3,"yes"
"Galium perpusillum","Gentianales","Rubiaceae","Galium","Galium perpusillum","Dioecious","dioecious","none",0,"Tube","actinomorphic",20,3.75,0.9,1,2,"herb","Perennial",0.06,"yes"
"Galium propinquum","Gentianales","Rubiaceae","Galium","Galium propinquum","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",30,1.65,1.65,1,2,"herb","Perennial",0.1,"yes"
"Galium saxatile","Gentianales","Rubiaceae","Galium","Galium saxatile","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",50,2.5,1,2,2,"shrub","Perennial",0.6,"yes"
"Galium verum","Gentianales","Rubiaceae","Galium","Galium verum","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",300,3,3,1,2,"herb","Perennial",0.3,"yes"
"Galvezia leucantha","Lamiales","Plantaginaceae","Galvezia","Galvezia leucantha","Hermaphrodite","self_compatible","low",13.46875,"Tube","zygomorphic",20,7,9.25,1.5,4,"shrub","Perennial",0.75,"yes"
"Gastonia crassa","Apiales","Araliaceae","Gastonia","Gastonia crassa","Hermaphrodite","monoecious","low",9.14146666666667,"Campanulate","actinomorphic",80,6.5,17,1,7,"shrub","Perennial",5,"yes"
"Gaura biennis","Myrtales","Onagraceae","Gaura","Gaura biennis","Hermaphrodite","self_compatible","high",88,"Open","zygomorphic",50,13,7,11,4,"herb","Short lived",1.05,"yes"
"Gaylussacia baccata","Ericales","Ericaceae","Gaylussacia","Gaylussacia baccata","Hermaphrodite","partially_self_compatible","low",10,"Tube","actinomorphic",2000,4,7,5.05,10,"shrub","Perennial",0.6,"yes"
"Geniostoma borbonicum","Gentianales","Loganiaceae","Geniostoma","Geniostoma borbonicum","Hermaphrodite","partially_self_compatible","low",10.18955,"Campanulate","actinomorphic",500,8,4.75,1.15,65,"tree","Perennial",8.5,"no"
"Genista anglica","Fabales","Fabaceae","Genista","Genista anglica","Hermaphrodite","self_incompatible","none",0,"Papilionaceous","zygomorphic",1000,8,12.5,6.5,17.9,"shrub","Perennial",0.38,"no"
"Genista hirsuta","Fabales","Fabaceae","Genista","Genista hirsuta","Hermaphrodite","self_incompatible","none",0,"Papilionaceous","zygomorphic",3000,1.7,8.5,9.1,6.47,"shrub","Perennial",0.9,"no"
"Genista pilosa","Fabales","Fabaceae","Genista","Genista pilosa","Hermaphrodite","self_incompatible","none",0,"Papilionaceous","zygomorphic",500,7,10,6.5,13,"shrub","Perennial",0.6,"no"
"Gentiana andrewsii","Gentianales","Gentianaceae","Gentiana","Gentiana andrewsii","Hermaphrodite","self_compatible","low",4,"Tube","actinomorphic",10,18.75,37.5,15,150,"herb","Perennial",0.6,"yes"
"Gentiana atuntsiensis","Gentianales","Gentianaceae","Gentiana","Gentiana atuntsiensis","Hermaphrodite","self_compatible","none",0,"Campanulate","actinomorphic",10,14.5,29,4.5,150,"herb","Perennial",0.15,"yes"
"Gentiana chungtienensis","Gentianales","Gentianaceae","Gentiana","Gentiana chungtienensis","Hermaphrodite","self_compatible","none",0,"Campanulate","actinomorphic",30,19.5,19.5,1.75,150,"herb","Short lived",0.04,"yes"
"Gentiana crassicaulis","Gentianales","Gentianaceae","Gentiana","Gentiana crassicaulis","Hermaphrodite","self_compatible","none",0,"Campanulate","actinomorphic",35,20.1,21,2.25,150,"herb","Perennial",0.2,"yes"
"Gentiana puberula","Gentianales","Gentianaceae","Gentiana","Gentiana saponaria","Hermaphrodite","self_compatible","none",0,"Tube","actinomorphic",5,18.1,40,20,150,"herb","Perennial",0.375,"yes"
"Gentiana corymbifera","Gentianales","Gentianaceae","Gentianella","Gentianella corymbifera","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",30,16,10,15,52,"herb","Short lived",0.23,"yes"
"Gentianella diemensis","Gentianales","Gentianaceae","Gentianella","Gentianella diemensis","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",5,18,10,15,85,"herb","Short lived",0.26,"yes"
"Gentiana montana","Gentianales","Gentianaceae","Gentianella","Gentianella montana","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",6,15.15,15.25,15,66,"herb","Short lived",3.6,"yes"
"Geoffroea spinosa","Fabales","Fabaceae","Geoffroea","Geoffroea spinosa","Hermaphrodite","self_compatible","none",0,"Papilionaceous","zygomorphic",15000,9.1,15,15,2,"tree","Perennial",6,"yes"
"Geranium carolinianum","Geraniales","Geraniaceae","Geranium","Geranium carolinianum","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",5,7.1,1.3,13,5,"herb","Short lived",0.375,"yes"
"Geranium delavaryi","Geraniales","Geraniaceae","Geranium","Geranium delavayi","Hermaphrodite","self_compatible","low",15.693625,"Open","actinomorphic",2,17.5,4.1,24.1,10,"herb","Perennial",0.54,"yes"
"Geranium maculatum","Geraniales","Geraniaceae","Geranium","Geranium maculatum","Dioecious","partially_self_compatible","low",13,"Open","actinomorphic",10,25.1,13,5,10,"herb","Perennial",0.5,"yes"
"Geranium nepalense","Geraniales","Geraniaceae","Geranium","Geranium nepalense","Hermaphrodite","self_compatible","low",14.1283583333333,"Open","actinomorphic",10,12.5,10,0.5,10,"herb","Perennial",0.5,"yes"
"Geranium robertianum","Geraniales","Geraniaceae","Geranium","Geranium robertianum","Hermaphrodite","self_compatible","high",88,"Campanulate","actinomorphic",10,17.5,10.5,20,10,"herb","Short lived",0.3,"yes"
"Geranium sibiricum","Geraniales","Geraniaceae","Geranium","Geranium sibiricum","Hermaphrodite","self_compatible","low",15.4761,"Open","actinomorphic",10,12.5,6.25,5,10,"herb","Perennial",0.35,"yes"
"Geum canadense","Rosales","Rosaceae","Geum","Geum canadense","Hermaphrodite","self_compatible","low",15.5858964285714,"Open","actinomorphic",5,15,2.5,5.5,1,"herb","Perennial",0.6,"yes"
"Geum japonicum","Rosales","Rosaceae","Geum","Geum macrophyllum","Hermaphrodite","self_compatible","low",14.1031797619048,"Open","actinomorphic",8,11.1,4,0.5,1,"herb","Perennial",0.7,"yes"
"Geum rivale","Rosales","Rosaceae","Geum","Geum rivale","Hermaphrodite","partially_self_compatible","low",13.2,"Campanulate","actinomorphic",5,12.5,11,7,1,"herb","Perennial",0.425,"yes"
"Geum uniflorum","Rosales","Rosaceae","Geum","Geum uniflorum","Hermaphrodite","self_compatible","low",13.2652,"Open","actinomorphic",1,25,18,5,1,"herb","Perennial",0.1,"yes"
"Geum vernum","Rosales","Rosaceae","Geum","Geum vernum","Hermaphrodite","self_compatible","low",14.4444666666667,"Open","actinomorphic",5,14,3,2.1,1,"herb","Perennial",0.225,"yes"
"Gillenia stipulacea","Rosales","Rosaceae","Gillenia","Gillenia stipulacea","Hermaphrodite","self_compatible","low",14.4172214285714,"Tube","actinomorphic",5,28,7.2,2,4,"herb","Perennial",0.5,"yes"
"Glechoma hederacea","Lamiales","Lamiaceae","Glechoma","Glechoma hederacea","Dioecious","self_compatible","none",0,"Tube","zygomorphic",10,8,12.5,7,4,"herb","Perennial",0.11,"yes"
"Gleditsia triacanthos","Fabales","Fabaceae","Gleditsia","Gleditsia triacanthos","Monoecious","monoecious","none",0,"Open","actinomorphic",20000,5,1.5,0.5,10,"tree","Perennial",17.5,"yes"
"Glionnetia sericea","Gentianales","Rubiaceae","Glionnetia","Glionnetia sericea","Hermaphrodite","self_compatible","low",13,"Tube","actinomorphic",75,30,9.4,10,100,"shrub","Perennial",5.5,"yes"
"Glochidion acuminatum","Malpighiales","Phyllanthaceae","Glochidion","Glochidion acuminatum","Monoecious","monoecious","none",0,"Tube","actinomorphic",500,1.5,3,1.25,8,"shrub","Perennial",5.5,"no"
"Glochidion obovatum","Malpighiales","Phyllanthaceae","Glochidion","Glochidion obovatum","Monoecious","monoecious","none",0,"Open","actinomorphic",500,1.75,1.75,1.25,9.5,"shrub","Perennial",0.75,"no"
"Glochidion zeylanicum","Malpighiales","Phyllanthaceae","Glochidion","Glochidion zeylanicum","Monoecious","monoecious","none",0,"Open","actinomorphic",500,4,2,3.5,11,"shrub","Perennial",3.5,"no"
"Gnaphalium polycephalum","Asterales","Asteraceae","Gnaphalium","Gnaphalium polycephalum","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",20,4.1,4.1,0.1,67,"herb","Short lived",0.45,"yes"
"Gomphrena celosioides","Caryophyllales","Amaranthaceae","Gomphrena","Gomphrena celosioides","Hermaphrodite","self_compatible","medium",70,"Tube","actinomorphic",1000,2,5.5,0.4,1,"herb","Perennial",0.15,"yes"
"Gomphrena elegans","Caryophyllales","Amaranthaceae","Gomphrena","Gomphrena elegans","Hermaphrodite","self_compatible","medium",70,"Tube","actinomorphic",100,2,3,2.25,1,"herb","Short lived",1,"yes"
"Gossypium barbadense","Malvales","Malvaceae","Gossypium","Gossypium barbadense","Hermaphrodite","self_compatible","high",75,"Open","actinomorphic",30,10.3,25,3.2,50,"shrub","Perennial",2,"yes"
"Gossypium darwinii","Malvales","Malvaceae","Gossypium","Gossypium darwinii","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",150,70,36,25,32.5,"shrub","Perennial",1.1,"yes"
"Grangeria borbonica","Malpighiales","Chrysobalanaceae","Grangeria","Grangeria borbonica","Hermaphrodite","self_compatible","low",10.9874866666667,"Open","actinomorphic",100,16,5,3.5,2,"tree","Perennial",6,"no"
"Gratiola virginiana","Lamiales","Plantaginaceae","Gratiola","Gratiola virginiana","Hermaphrodite","self_compatible","low",13.1067,"Tube","zygomorphic",5,22,22,3,100,"herb","Short lived",0.25,"yes"
"Gymnocladus dioica","Fabales","Fabaceae","Gymnocladus","Gymnocladus dioica","Dioecious","dioecious","none",0,"Open","actinomorphic",15000,25,18,5,4,"tree","Perennial",25,"yes"
"Halenia elliptica","Gentianales","Gentianaceae","Halenia","Halenia elliptica","Hermaphrodite","self_compatible","high",100,"Campanulate","actinomorphic",10,8,17.5,4,14.5,"herb","Short lived",0.4,"yes"
"Halimium commutatum","Malvales","Cistaceae","Halimium","Halimium commutatum","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",100,19.1,4,0.5,7,"shrub","Perennial",1.5,"no"
"Halimium halimifolium","Malvales","Cistaceae","Halimium","Halimium halimifolium","Hermaphrodite","self_incompatible","none",1,"Open","actinomorphic",50,28,3,1,46,"shrub","Perennial",1,"no"
"Cordemoya integrifolia","Malpighiales","Euphorbiaceae","Hancea","Hancea integrifolia","Monoecious","monoecious","none",0,"Brush","actinomorphic",15663.53,10,5,11,3,"tree","Perennial",7.5,"no"
"Cassiope hypnoides","Ericales","Ericaceae","Harrimanella","Harrimanella hypnoides","Hermaphrodite","self_compatible","low",17.54965,"Campanulate","actinomorphic",100,4.2,3.75,1,100,"shrub","Perennial",0.03,"yes"
"Harrisia balansae","Caryophyllales","Cactaceae","Harrisia","Harrisia balansae","Hermaphrodite","partially_self_compatible","none",0,"Tube","actinomorphic",10,120,175,138,5022,"shrub","Perennial",2.2,"yes"
"Harungana madagascariensis","Malpighiales","Hypericaceae","Harungana","Harungana madagascariensis","Hermaphrodite","partially_self_compatible","low",6.01105,"Open","actinomorphic",18000,5.5,3.17392261904762,1.5,5,"tree","Perennial",12.5,"no"
"Hedeoma pulegioides","Lamiales","Lamiaceae","Hedeoma","Hedeoma pulegioides","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",10,3,6,6,4,"herb","Short lived",2.4,"yes"
"Helenium autumnale","Asterales","Asteraceae","Helenium","Helenium autumnale","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",20,13.1,14,3,335,"herb","Perennial",0.9,"yes"
"Helenium donianum","Asterales","Asteraceae","Helenium","Helenium donianum","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",15,23.75,12.0399536706349,0.5,500,"herb","Perennial",0.55,"yes"
"Heliamphora heterodoxa","Ericales","Sarraceniaceae","Heliamphora","Heliamphora heterodoxa","Hermaphrodite","self_compatible","low",13.45165,"Open","actinomorphic",2,22.9641520833333,12.1299916666667,10,207.296666666667,"herb","Perennial",0.421368253968254,"no"
"Helianthus annuus","Asterales","Asteraceae","Helianthus","Helianthus annuus","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",1,26,3.1,10,1700,"herb","Short lived",1.5,"yes"
"Helianthus divaricatus","Asterales","Asteraceae","Helianthus","Helianthus divaricatus","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",1,57,6,7,50,"herb","Perennial",0.85,"yes"
"Helianthus grosse-serratus","Asterales","Asteraceae","Helianthus","Helianthus grosseserratus","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",5,19.1,5,9.5,150,"herb","Perennial",2.25,"yes"
"Helianthus strumosus","Asterales","Asteraceae","Helianthus","Helianthus hirsutus","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",3,39.5,6,7,50,"herb","Perennial",1,"yes"
"Helianthus laetiflorus","Asterales","Asteraceae","Helianthus","Helianthus laetiflorus","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",5,11.2,7.25,7,90,"herb","Perennial",1.5,"yes"
"Helianthus mollis","Asterales","Asteraceae","Helianthus","Helianthus mollis","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",5,15.3,12.5,3.1,100,"herb","Perennial",0.6,"yes"
"Helianthus scaberrimus","Asterales","Asteraceae","Helianthus","Helianthus scaberrimus","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",1,26.2978030663781,12.8775930555556,3,9.4,"herb","Perennial",0.65,"yes"
"Helianthus tuberosus","Asterales","Asteraceae","Helianthus","Helianthus tuberosus","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",5,19.1,4,6.5,9.4,"herb","Perennial",1.25,"yes"
"Helichrysum proteoides","Asterales","Asteraceae","Helichrysum","Helichrysum proteoides","Hermaphrodite","self_compatible","low",16.7042333333333,"Capitulum","actinomorphic",5,10,10,2,30,"herb","Perennial",0.25,"no"
"Helichrysum scorpioides","Asterales","Asteraceae","Helichrysum","Helichrysum scorpioides","Hermaphrodite","self_compatible","low",17.7357574712644,"Capitulum","actinomorphic",5,24.5,9.1,0.1,200,"herb","Perennial",0.275,"yes"
"Helichrysum selago","Asterales","Asteraceae","Helichrysum","Helichrysum selago","Hermaphrodite","self_compatible","low",18.3184,"Capitulum","actinomorphic",200,6,6,2,30,"shrub","Perennial",0.15,"yes"
"Helichrisum stoechas","Asterales","Asteraceae","Helichrysum","Helichrysum stoechas","Hermaphrodite","self_compatible","low",16.5476,"Capitulum","actinomorphic",500,10,10,0.25,30,"herb","Perennial",0.35,"no"
"Heliconia psittacorum","Zingiberales","Heliconiaceae","Heliconia","Heliconia psittacorum","Hermaphrodite","partially_self_compatible","none",0,"Tube","zygomorphic",15,4,4,3.5,3,"herb","Perennial",0.87,"yes"
"Heliopsis helianthoides","Asterales","Asteraceae","Heliopsis","Heliopsis helianthoides","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",1,56,8.4,4.5,125,"herb","Perennial",0.125,"yes"
"Heliotropium angiospermum","Boraginales","Boraginaceae","Heliotropium","Heliotropium angiospermum","Hermaphrodite","self_compatible","low",20,"Tube","actinomorphic",50,5,5.5,0.65,4,"herb","Perennial",0.23,"yes"
"Hemistepta lyrata","Asterales","Asteraceae","Hemisteptia","Hemisteptia lyrata","Hermaphrodite","self_compatible","low",18.1508333333333,"Capitulum","actinomorphic",10,29.5,13,15,100,"herb","Short lived",0.3,"yes"
"Heracleum candicans","Apiales","Apiaceae","Heracleum","Heracleum candicans","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",450,12,3,1,2,"herb","Perennial",1.7,"no"
