"","Order_all","Family_all","Genus_all","Species_all","Breeding_system","Compatibility_system","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Corolla_diameter_mean","Corolla_length_mean","Style_length","Ovule_number","life_form","lifespan","Plant_height_mean_m","Nectar_presence_absence","Nectar_ul","Pollen_per_flower"
"Armeria velutina","Caryophyllales","Plumbaginaceae","Armeria","Armeria velutina","Hermaphrodite","self_compatible","low",16.70755,"Open","actinomorphic",250,7,2,0.1,1,"herb","Perennial",0.4,"yes",0.25,979
"Arnica alpina","Asterales","Asteraceae","Arnica","Arnica alpina","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",6,35,8.75,5.1,40,"herb","Perennial",0.175,"yes",0.924946016666667,198923.364420635
"Arnica angustifolia","Asterales","Asteraceae","Arnica","Arnica angustifolia","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",6,35,9.1,6,40,"herb","Perennial",0.175,"yes",1.08749601666667,175309.242277778
"Arnica montana","Asterales","Asteraceae","Arnica","Arnica montana","Hermaphrodite","self_incompatible","none",1.3,"Capitulum","actinomorphic",5,7,8.96984285714285,10,40,"herb","Perennial",0.4,"yes",2.01409433333333,135209.052921111
"Cacalia atriplicifolia","Asterales","Asteraceae","Arnoglossum","Arnoglossum atriplicifolium","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",300,9,24,8,4.5,"herb","Perennial",1.5,"yes",3.64425933333333,248211.355
"Cacalia tuberosa","Asterales","Asteraceae","Arnoglossum","Arnoglossum plantagineum","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",200,15,10,9,6,"herb","Perennial",0.8,"no",0,126810.44882
"Aronia melanocarpa","Rosales","Rosaceae","Aronia","Aronia melanocarpa","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",3000,9.1,3.3,4,1.1,"shrub","Perennial",1.35,"yes",1.5123278,52075.3606333333
"Aruncus sylvester","Rosales","Rosaceae","Aruncus","Aruncus dioicus","Dioecious","dioecious","none",0,"Brush","actinomorphic",14000,5,31.12,0.55,3,"herb","Perennial",1.15,"yes",10.766514,371986.3727
"Ascerates floridana","Gentianales","Apocynaceae","Asclepias","Asclepias floridana","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",250,12.13,13.7252047619048,10.86155,100,"shrub","Perennial",1.7029,"yes",6.4152,115461.41646
"Asclepias incarnata","Gentianales","Apocynaceae","Asclepias","Asclepias incarnata","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",3500,5.1,10,0.1,58,"herb","Perennial",1.05,"yes",0.14,86221.08955
"Asclepias purpurascens","Gentianales","Apocynaceae","asclepias","Asclepias purpurascens","Hermaphrodite","self_incompatible","low",13,"Open","actinomorphic",300,9,10,0.1,166,"herb","Perennial",0.5,"yes",2.27212555555556,123813.312683333
"Asclepias sullivantii","Gentianales","Apocynaceae","Asclepias","Asclepias sullivantii","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",250,2.4,5.8,0.1,60,"herb","Perennial",0.9,"yes",0.21,87225.03855
"Asclepias syriaca","Gentianales","Apocynaceae","Asclepias","Asclepias syriaca","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",400,4.5,4.5,0.1,208,"herb","Perennial",1.35,"yes",1.9,163089.06966
"Asclepias tuberosa","Gentianales","Apocynaceae","Asclepias","Asclepias tuberosa","Hermaphrodite","self_incompatible","low",13,"Open","actinomorphic",1000,6.5,8,0.1,70,"herb","Perennial",0.45,"yes",0.29,109297.045383333
"Asclepias verticillata","Gentianales","Apocynaceae","Asclepias","Asclepias verticillata","Hermaphrodite","self_incompatible","low",13,"Open","actinomorphic",80,5.5,9,0.1,48,"herb","Perennial",0.3,"yes",2,78157.0037
"Ascerates viridiflora","Gentianales","Apocynaceae","Asclepias","Asclepias viridiflora","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",250,13.44455,12.7505547619048,9.77009090909091,75.1,"shrub","Perennial",1.862775,"yes",11.98242,107846.08146
"Asiminia triloba","Magnoliales","Annonaceae","Asimina","Asimina triloba","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",300,20,20,2,50,"herb","Perennial",0.85,"yes",4.98129,165345.6066
"Asparagus officinalis","Asparagales","Asparagaceae","Asparagus","Asparagus officinalis","Dioecious","dioecious","none",0,"Campanulate","actinomorphic",2000,2.6,4.5,0.5,5,"vine","Perennial",0.55,"yes",0.935,70705.5084333333
"Asperula gunnii","Gentianales","Rubiaceae","Asperula","Asperula gunnii","Dioecious","dioecious","none",0,"Tube","actinomorphic",100,3,2.5,0.5,2,"herb","Perennial",0.1,"yes",7.85210764999999,70929.79131
"Asphodelus fistulosus","Asparagales","Asphodelaceae","Asphodelus","Asphodelus fistulosus","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",500,8.5,1.5,5.5,6,"herb","Short lived",0.4,"yes",1.65205666666667,2488
"Aster ageratoides","Asterales","Asteraceae","Aster","Aster ageratoides","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",8,17.5,8,3,25,"herb","Perennial",0.75,"yes",1.04018841666667,184196.183408968
"Aster asa-grayi","Asterales","Asteraceae","Aster","Aster asa-grayi","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",15,22.5,10,3,100,"herb","Perennial",0.24,"yes",2.01149066666667,165723.081964524
"Aster diplostephioides","Asterales","Asteraceae","Aster","Aster diplostephioides","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",5,15.3,30,5,200,"herb","Perennial",0.35,"yes",11.9929503333333,158734.097142857
"Aster glehni","Asterales","Asteraceae","Aster","Aster glehnii","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",75,30,8.93353333333333,3,35,"herb","Perennial",1.35,"yes",1.05714333333333,310852.4275
"Kalimeris pinnatifida","Asterales","Asteraceae","Aster","Aster iinumae","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",10,29.1,1.5,1,75,"herb","Perennial",0.75,"yes",1.80549533333333,255460.898563968
"Aster oreophilus","Asterales","Asteraceae","Aster","Aster oreophilus","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",20,29.1,9.08975287698412,5,75,"herb","Perennial",0.4,"yes",1.56906593333333,258850
"Aster salicifolius","Asterales","Asteraceae","Aster","Aster salicifolius","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",15,4,7,3,40,"herb","Perennial",1.05,"yes",1.11304166666667,191579.344853968
"Aster ageratoides amplexifolius","Asterales","Asteraceae","Aster","Aster satsumensis","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",15,19.1,8.50716666666666,3,75,"herb","Perennial",0.5,"yes",1.43503266666667,224762.061087302
"Aster souliei","Asterales","Asteraceae","Aster","Aster souliei","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",2,13.2,10,5,200,"herb","Perennial",0.235,"yes",2.23349566666666,215922.814742302
"Aster subulatus","Asterales","Asteraceae","Aster","Aster subulatus","Hermaphrodite","self_compatible","low",15.92775,"Capitulum","actinomorphic",100,13,13,3,35,"herb","Short lived",0.15,"yes",3.976675,138642.30431
"Aster vestitus","Asterales","Asteraceae","Aster","Aster vestitus","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",1,80,15,5,75,"herb","Perennial",0.95,"yes",4.25845568333333,476709.565992857
"Aster yunnanensis","Asterales","Asteraceae","Aster","Aster yunnanensis","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",5,62.5,9.1,5,75,"herb","Perennial",0.525,"yes",1.14387801666667,457189.472809524
"Astilbe thunbergii","Saxifragales","Saxifragaceae","Astilbe","Astilbe thunbergii","Hermaphrodite","self_compatible","low",13.96686,"Brush","actinomorphic",300,6,2,1.8,100,"herb","Perennial",0.9,"yes",9.14266545,476020.75195
"Astragalus alpinus","Fabales","Fabaceae","Astragalus","Astragalus alpinus","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",120,9,12,12,7,"herb","Perennial",0.14,"yes",3.22432,69068.396
"Astragalus canadensis","Fabales","Fabaceae","Astragalus","Astragalus canadensis","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",300,5,12.1,7.5,12,"herb","Perennial",0.9,"yes",1.18052,60104.8581766666
"Astragalus mexicanus","Fabales","Fabaceae","Astragalus","Astragalus mexicanus","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",300,10,16,7.5,12,"herb","Perennial",0.45,"yes",1.58796,115789.947733333
"Astragalus pullus","Fabales","Fabaceae","Astragalus","Astragalus pullus","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",120,5,10,10,16,"shrub","Perennial",0.15,"yes",8.13371833333332,17822
"Capparis atamisquea","Brassicales","Capparaceae","Atamisquea","Atamisquea emarginata","Hermaphrodite","self_incompatible","none",3.5,"Open","zygomorphic",10000,13,8.16565,6,23,"shrub","Perennial",4.5,"yes",3.1961825,154729.4571
"Gerardia grandiflora","Lamiales","Orobanchaceae","Aureolaria","Aureolaria grandiflora","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",15,33,47.5,18,100,"herb","Perennial",1.05,"yes",13.1913011,87562.8255
"Avicennia germinans","Lamiales","Acanthaceae","Avicennia","Avicennia germinans","Hermaphrodite","self_compatible","low",10,"Tube","actinomorphic",5000,10,6,4,4,"tree","Perennial",14,"yes",3.96531416666667,156126.634333333
"Ayenia tomentosa","Malvales","Malvaceae","Ayenia","Ayenia tomentosa","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",15,15.430775,5.21783333333333,0.5,10,"herb","Perennial",0.55,"yes",2.0650355,108429.726309524
"Azorina vidalii","Asterales","Campanulaceae","Azorina","Azorina vidalii","Hermaphrodite","self_compatible","none",0,"Campanulate","actinomorphic",50,11,24,15,137.685183333333,"shrub","Perennial",1.2,"yes",9,149201.9845
"Bacopa monniera","Lamiales","Plantaginaceae","Bacopa","Bacopa monnieri","Hermaphrodite","self_compatible","low",13,"Campanulate","actinomorphic",10,7.5,10,4.1,178,"herb","Perennial",0.25,"no",0,57312
"Badula insularis","Ericales","Primulaceae","Badula","Badula insularis","Hermaphrodite","partially_self_compatible","low",6.9197,"Open","actinomorphic",300,6.86885,3.89445,0.1,4,"tree","Perennial",3.5,"no",0,244138.78885
"Badula platiphylla","Ericales","Primulaceae","Badula","Badula platyphylla","Hermaphrodite","self_compatible","low",12.7659,"Open","actinomorphic",300,5.8053,3.124275,0.1,4,"shrub","Perennial",1.5,"no",0,49344.3617
"Baeckia gunniana","Myrtales","Myrtaceae","Baeckea","Baeckea gunniana","Hermaphrodite","self_compatible","low",12.74255,"Open","actinomorphic",1500,4.5,1.3,0.6,19,"shrub","Perennial",0.75,"yes",1.63270438333333,71664.39185
"Bakerella hoyifolia","Santalales","Loranthaceae","Bakerella","Bakerella hoyifolia","Hermaphrodite","self_compatible","medium",50.5,"Tube","actinomorphic",400,4.1,24.5,25,8,"herb","Perennial",0.75,"yes",10.1,101751.4064
"Baptisia leucantha","Fabales","Fabaceae","Baptisia","Baptisia alba","Hermaphrodite","self_compatible","low",13,"Papilionaceous","zygomorphic",500,12.86735,12.1435833333333,6,30,"herb","Perennial",0.9,"yes",6.788985,108696.4709
"Baptisia bracteata","Fabales","Fabaceae","Baptisia","Baptisia bracteata","Hermaphrodite","self_compatible","low",13,"Papilionaceous","zygomorphic",600,14,16,12,18.5,"herb","Perennial",0.25,"yes",2.877055,89185.6094
"Barringtonia racemosa","Ericales","Lecythidaceae","Barringtonia","Barringtonia racemosa","Hermaphrodite","self_compatible","low",12.95155,"Brush","actinomorphic",2000,20,20.1803333333333,41,5,"tree","Perennial",6,"yes",3.5,50000
"Bartsia alpina","Lamiales","Orobanchaceae","Bartsia","Bartsia alpina","Hermaphrodite","self_compatible","none",0,"Tube","zygomorphic",10,5,17.5,17,94,"herb","Perennial",0.23,"yes",0.99,47000
"Bastardia viscosa","Malvales","Malvaceae","Bastardia","Bastardia viscosa","Hermaphrodite","self_compatible","medium",35,"Open","actinomorphic",20,7.1,2,1,5,"herb","Perennial",1,"yes",0.85,24491.8020433333
"Bauhinia japonica","Fabales","Fabaceae","Bauhinia","Bauhinia japonica","Hermaphrodite","self_incompatible","none",0,"Open","zygomorphic",100,19.1,26.0210833333333,50,8,"vine","Perennial",6,"yes",22.4925833333333,195533.378
"Befaria glauca","Ericales","Ericaceae","Bejaria","Bejaria aestuans","Hermaphrodite","self_compatible","low",13.35435,"Campanulate","actinomorphic",100,35,25,28.1,100,"tree","Perennial",7.1,"yes",9.7,404373.538655
"Bertiera zaluzania","Gentianales","Rubiaceae","Bertiera","Bertiera zaluzania","Dioecious","dioecious","none",0,"Tube","actinomorphic",300,15,15,15,100,"shrub","Perennial",1,"yes",2.4,119869.74335
"Beta maritima","Caryophyllales","Chenopodiaceae","Beta","Beta vulgaris","Dioecious","partially_self_compatible","low",13,"Tube","actinomorphic",150,2.5,4,2.01,1,"herb","Perennial",0.5,"no",0,48542.9838833333
"Bidens aristosa","Asterales","Asteraceae","Bidens","Bidens aristosa","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",10,60,24.1,6,56.5,"herb","Short lived",0.75,"yes",5.95759668333332,144510.324616111
"Bidens bipinnata","Asterales","Asteraceae","Bidens","Bidens bipinnata","Hermaphrodite","self_compatible","medium",59.30722,"Capitulum","actinomorphic",5,7.5,2.1,2,19.5,"herb","Short lived",0.3,"yes",1.58214916666667,17374.5
"Bidens connata","Asterales","Asteraceae","Bidens","Bidens connata","Hermaphrodite","self_compatible","high",100,"Capitulum","actinomorphic",15,14,3,6,70,"herb","Short lived",0.8,"yes",1.476468,66029.80686
"Bidens laevis","Asterales","Asteraceae","Bidens","Bidens laevis","Hermaphrodite","self_incompatible","low",9.2296125,"Capitulum","actinomorphic",3,40,10,6,80,"herb","Perennial",0.5,"yes",2.35382066666667,104179.479166667
"Bidens pilosa","Asterales","Asteraceae","Bidens","Bidens pilosa","Hermaphrodite","self_compatible","high",67,"Capitulum","actinomorphic",5,11,8,6,50,"herb","Short lived",0.85,"yes",0.012,58644
"Polygonum macrophyllum","Caryophyllales","Polygonaceae","Bistorta","Bistorta macrophylla","Hermaphrodite","self_compatible","low",18.6220166666667,"Tube","actinomorphic",500,1,2.75,6,1,"herb","Perennial",0.15,"yes",2.37996575,13211.43989
"Polygonum sinomontanum","Caryophyllales","Polygonaceae","Bistorta","Bistorta sinomontana","Hermaphrodite","self_compatible","low",17.56645,"Tube","actinomorphic",100,3,4.5,3.6,1,"herb","Perennial",0.7,"yes",5.18680036666666,13796.16335
"Bistorta tenuicaulis","Caryophyllales","Polygonaceae","Bistorta","Bistorta tenuicaulis","Dioecious","self_compatible","low",15.93035,"Tube","actinomorphic",200,2,4.5,8,1,"herb","Perennial",0.5,"yes",1.84864855,11160.05955
"Psoralea bituminosa","Fabales","Fabaceae","Bituminaria","Bituminaria bituminosa","Hermaphrodite","self_compatible","low",21.5800666666667,"Tube","zygomorphic",200,2.5,11.5,9,1,"herb","Short lived",0.275,"yes",0.24,2138
"Blainvillea dichotoma","Asterales","Asteraceae","Blainvillea","Blainvillea dichotoma","Hermaphrodite","self_compatible","medium",57.9981866666667,"Capitulum","actinomorphic",15,5.1,2.1,0.5,10,"herb","Short lived",0.5,"no",0,38921.707585
"Blastus cochinchinensis","Myrtales","Melastomataceae","Blastus","Blastus cochinchinensis","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",150,8,3,10,100,"shrub","Perennial",2,"no",0,238078.82425
"Blephilia ciliata","Lamiales","Lamiaceae","Blephilia","Blephilia ciliata","Hermaphrodite","self_compatible","low",12.99765,"Tube","zygomorphic",80,9.80099999999999,13.1201557142857,12,4,"herb","Perennial",0.45,"yes",1.908168,38303.91935
"Blephilia hirsuta","Lamiales","Lamiaceae","Blephilia","Blephilia hirsuta","Hermaphrodite","self_compatible","low",14.688,"Tube","zygomorphic",75,7.1,10.1,10,4,"herb","Perennial",0.6,"yes",1.367015,28562.8650555556
"Arabis laevigata","Brassicales","Brassicaceae","Boechera","Boechera stricta","Hermaphrodite","self_compatible","high",88,"Tube","actinomorphic",35,2.1,1.1,0.175,163,"herb","Short lived",0.575,"yes",28.49661545,49308.7501666667
"Boerhaavia caribaea","Boraginales","Nyctaginaceae","Boerhaavia","Boerhavia caribaea","Hermaphrodite","self_compatible","high",88,"Campanulate","actinomorphic",500,0.5,0.5,2.65,1,"herb","Perennial",0.9,"yes",0.36,10119.6896428571
"Boerhaavia erecta","Caryophyllales","Nyctaginaceae","Boerhavia","Boerhavia erecta","Hermaphrodite","self_compatible","medium",24.8879,"Campanulate","actinomorphic",50,2,2,1.625,1,"herb","Short lived",0.5,"no",0,23893.9399357143
"Commicarpus tuberosus","Fabales","Nyctaginaceae","Boerhavia","Boerhavia tuberosa","Hermaphrodite","self_compatible","low",17.6377,"Campanulate","actinomorphic",10,0.5,0.5,2.65,1,"herb","Perennial",0.9,"yes",4.33097522142857,35463.36249
"Boltonia asteroides","Asterales","Asteraceae","Boltonia","Boltonia asteroides","Hermaphrodite","self_compatible","low",13.0434,"Capitulum","actinomorphic",15,67.5,9.1,3,90,"herb","Perennial",1.15,"yes",3.15247741666667,552362.443
"Bonnetia sessilis","Malpighiales","Bonnetiaceae","Bonnetia","Bonnetia sessilis","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",100,60,15.6,15,100,"shrub","Perennial",1.5,"no",0,323773.782155
"Bougainvillea_spinosa","Caryophyllales","Nyctaginaceae","Bougainvillea","Bougainvillea spinosa","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",5000,14,10,1,1,"shrub","Perennial",5,"yes",1.79688015,74866.9828
"Senecio bellidioides","Asterales","Asteraceae","Brachyglottis","Brachyglottis bellidioides","Hermaphrodite","partially_self_compatible","medium",35,"Capitulum","actinomorphic",1,30,6.85,5,25,"herb","Perennial",0.05,"yes",10.129296,57555
"Senecio bidwilli","Asterales","Asteraceae","Brachyglottis","Brachyglottis bidwillii","Hermaphrodite","partially_self_compatible","low",14.4737833333333,"Capitulum","actinomorphic",500,14.1,5.1,3,15,"shrub","Perennial",0.5,"yes",3.66044666666666,111294.1755
"Brachycome scapiformis","Asterales","Asteraceae","Brachyscome","Brachyscome scapiformis","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",1,15,3,2,35,"herb","Perennial",0.3,"yes",2.04465933333333,141630.322642857
"Brachycome scapigera","Asterales","Asteraceae","Brachyscome","Brachyscome scapigera","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",10,12,4.1,2,90,"herb","Perennial",0.2,"yes",1.55348233333333,494500
"Brachyome sinclairii","Asterales","Asteraceae","Brachyscome","Brachyscome sinclairii","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",5,20,2.5,2,60,"herb","Perennial",0.09,"yes",2.97038133333333,159250
"Brachycome stolonifera","Asterales","Asteraceae","Brachyscome","Brachyscome stolonifera","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",5,12.5,4.5,2,60,"herb","Perennial",0.15,"yes",2.09250533333333,262117.262920635
"Brassica fruticulosa","Brassicales","Brassicaceae","Brassica","Brassica fruticulosa","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",20,15,5.5,1.96,20.2,"shrub","Perennial",2,"yes",0.06,80280
"Brassica campestris","Brassicales","Brassicaceae","Brassica","Brassica rapa","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",50,10,5,1,26,"herb","Short lived",0.75,"yes",1.35,390000
