"","Breeding_system","IMPUTED_Compatibility","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Flowers_per_inflorescence","Floral_unit_width","Corolla_diameter_mean","Corolla_length_mean","STYLE_IMPUTED","OVULES_IMPUTED","life_form","lifespan","IMPUTED_plant_height_mean_m","Nectar_presence_absence","Clusters"
"Taraxacum phymatocarpum","Hermaphrodite","self_incompatible","none",-0.71336012543232,"Capitulum","actinomorphic",-0.234907339739175,-0.168277095490959,-0.421075955339999,0.349033397615472,0.241958299581664,0.388565375746951,-0.101196541798517,"herb","Perennial",-0.533616356479702,"yes",3
"Tephrosia virginiana","Hermaphrodite","self_compatible","high",2.58618110283423,"Papilionaceous","zygomorphic",-0.235487330572429,-0.133840057344134,-0.0302606643105785,0.102448967952165,0.381755998579099,0.333109059992512,-0.122965530550132,"herb","Perennial",-0.452502054040777,"yes",5
"Ternstroemia crassifolia","Monoecious","partially_self_compatible","low",-0.653368466736565,"Open","actinomorphic",0.698564292470014,-0.133840057344134,-0.253583687755962,-0.0208432468794881,-0.0551118107878842,-0.665104623587403,-0.125836683661155,"tree","Perennial",2.49977394314859,"yes",2
"Tetradium glabrifolium","Dioecious","dioecious","none",-0.71336012543232,"Campanulate","actinomorphic",0.0527681135546155,0.321220803881769,2.42629259358864,-0.612645878071425,-0.462855099530402,-0.665104623587403,-0.122377179502791,"tree","Perennial",2.97706757539447,"yes",4
"Tetramerium nervosum","Hermaphrodite","self_compatible","medium",1.31885731288639,"Tube","zygomorphic",-0.236067321405682,-0.146138999539429,-0.14192217603327,-0.218110790610134,0.183709258332733,0.832215901782469,-0.125318934739495,"herb","Perennial",-0.537885530292277,"yes",5
"Teucrium canadense","Hermaphrodite","self_compatible","low",-0.176665373043421,"Open","zygomorphic",-0.232587376406161,-0.0723453463676609,-0.253583687755962,-0.587987435105094,-0.171609893285746,0.943128533291348,-0.125318934739495,"herb","Perennial",-0.438271474665527,"yes",5
"Teucrium fruticans","Hermaphrodite","partially_self_compatible","low",-0.291868105132614,"Open","zygomorphic",-0.214027669742045,-0.133840057344134,0.193062359134805,-0.316744562475456,0.474954464577389,1.7195169538535,-0.125318934739495,"shrub","Perennial",-0.224812784036777,"yes",5
"Thalia geniculata","Hermaphrodite","self_compatible","low",-0.109558141204549,"Open","zygomorphic",-0.231427394739653,-0.146138999539429,-0.81189124636942,-0.514012106206102,-0.0842363314123498,-0.276910413306325,-0.125907285786836,"herb","Perennial",-0.082506990284277,"yes",5
"Thalictrum dasycarpum","Dioecious","dioecious","none",-0.71336012543232,"Brush","actinomorphic",-0.16182849474922,1.42812560145829,1.75632352325249,-0.612645878071425,-0.34635701703254,-0.276910413306325,-0.120612126360768,"shrub","Perennial",-0.239043363412027,"no",4
"Thalictrum delavayi","Hermaphrodite","self_compatible","low",-0.187933962496718,"Open","actinomorphic",-0.202427853076973,-0.0477474619770716,3.54290771081555,0.181355985444424,-0.51527923665444,-0.276910413306325,-0.116787844553052,"herb","Perennial",-0.210582204661527,"no",2
