"","Original_names","Visits","d","Id","Order","Family","Genus","Species","Breeding_system","Compatibility","Selfing","Selfing_quantitative","Flower_shape","Flower_symmetry","Flower_number","Flower_inflorescence","Floral_unit_width","Flower_width","Flower_length","Style_length","Ovule_number","Life_form","Life_span","Plant_height"
"673","Psiadia terebinthina",234,0.261556190484355,"14_1_kaiser-bunbury_2010_mauritius_control","Asterales","Asteraceae","Psiadia","Psiadia terebinthina","Hermaphrodite","self_compatible","low",17.32835,"Capitulum","actinomorphic",30,30,50,4.1,5,2,5,"shrub","Perennial",1
"674","Psiadia terebinthina",233,0.204998737123788,"14_2_kaiser-bunbury_2010_mauritius_restored","Asterales","Asteraceae","Psiadia","Psiadia terebinthina","Hermaphrodite","self_compatible","low",17.32835,"Capitulum","actinomorphic",30,30,50,4.1,5,2,5,"shrub","Perennial",1
"675","Psidium cattleianum",28,0.212075126737174,"11_5_kaiser-bunbury_2017_seychelles_rosebelle","Myrtales","Myrtaceae","Psidium","Psidium cattleyanum","Hermaphrodite","partially_self_compatible","none",0,"Open","zygomorphic",500,2,100,20,14.8587666666667,9,127,"tree","Perennial",7.5
"676","Psidium cattleianum",6,0.395945435081021,"13_2_kaiser-bunbury_2011_seychelles_casse_dent","Myrtales","Myrtaceae","Psidium","Psidium cattleyanum","Hermaphrodite","partially_self_compatible","none",0,"Open","zygomorphic",500,2,100,20,14.8587666666667,9,127,"tree","Perennial",7.5
"677","Psidium cattleianum",185,0.334714511859707,"13_4_kaiser-bunbury_2011_seychelles_la_reserve","Myrtales","Myrtaceae","Psidium","Psidium cattleyanum","Hermaphrodite","partially_self_compatible","none",0,"Open","zygomorphic",500,2,100,20,14.8587666666667,9,127,"tree","Perennial",7.5
"678","Psidium cattleianum",44,0.18008298480513,"14_1_kaiser-bunbury_2010_mauritius_control","Myrtales","Myrtaceae","Psidium","Psidium cattleyanum","Hermaphrodite","partially_self_compatible","none",0,"Open","zygomorphic",500,2,100,20,14.8587666666667,9,127,"tree","Perennial",7.5
"679","Psoralea bituminosa",2,0.615404998519564,"1_5_bartomeus_spain_2008_miqop_1_2","Fabales","Fabaceae","Bituminaria","Bituminaria bituminosa","Hermaphrodite","self_compatible","low",20.75805,"Tube","zygomorphic",200,30,10,2.5,11.5,9,1,"herb","Short lived",0.275
"680","Psoralea bituminosa",11,0.668515011485687,"1_6_bartomeus_spain_2008_selop_1_2","Fabales","Fabaceae","Bituminaria","Bituminaria bituminosa","Hermaphrodite","self_compatible","low",20.75805,"Tube","zygomorphic",200,30,10,2.5,11.5,9,1,"herb","Short lived",0.275
"681","Psychotria pervillei",64,0.130828112738518,"11_1_kaiser-bunbury_2017_seychelles_bernica","Gentianales","Rubiaceae","Psychotria","Psychotria pervillei","Hermaphrodite","partially_self_compatible","low",13.42375,"Campanulate","actinomorphic",500,30,30,2.5,4.1,7,2,"shrub","Perennial",3.5
"682","Psychotria pervillei",21,0.138726309765924,"11_2_kaiser-bunbury_2017_seychelles_casse_dent","Gentianales","Rubiaceae","Psychotria","Psychotria pervillei","Hermaphrodite","partially_self_compatible","low",13.42375,"Campanulate","actinomorphic",500,30,30,2.5,4.1,7,2,"shrub","Perennial",3.5
"683","Psychotria pervillei",50,0.140649282482922,"11_3_kaiser-bunbury_2017_seychelles_copolia","Gentianales","Rubiaceae","Psychotria","Psychotria pervillei","Hermaphrodite","partially_self_compatible","low",13.42375,"Campanulate","actinomorphic",500,30,30,2.5,4.1,7,2,"shrub","Perennial",3.5
"684","Psychotria pervillei",8,0.176743976263128,"11_4_kaiser-bunbury_2017_seychelles_reserve","Gentianales","Rubiaceae","Psychotria","Psychotria pervillei","Hermaphrodite","partially_self_compatible","low",13.42375,"Campanulate","actinomorphic",500,30,30,2.5,4.1,7,2,"shrub","Perennial",3.5
"685","Psychotria pervillei",28,0.377622412174001,"11_5_kaiser-bunbury_2017_seychelles_rosebelle","Gentianales","Rubiaceae","Psychotria","Psychotria pervillei","Hermaphrodite","partially_self_compatible","low",13.42375,"Campanulate","actinomorphic",500,30,30,2.5,4.1,7,2,"shrub","Perennial",3.5
"686","Psychotria pervillei",43,0.342158946768379,"11_6_kaiser-bunbury_2017_seychelles_salazie","Gentianales","Rubiaceae","Psychotria","Psychotria pervillei","Hermaphrodite","partially_self_compatible","low",13.42375,"Campanulate","actinomorphic",500,30,30,2.5,4.1,7,2,"shrub","Perennial",3.5
"687","Psychotria pervillei",77,0.433744153576325,"11_7_kaiser-bunbury_2017_seychelles_tea_plantation","Gentianales","Rubiaceae","Psychotria","Psychotria pervillei","Hermaphrodite","partially_self_compatible","low",13.42375,"Campanulate","actinomorphic",500,30,30,2.5,4.1,7,2,"shrub","Perennial",3.5
"688","Psychotria pervillei",66,0.129810137896087,"13_1_kaiser-bunbury_2011_seychelles_bernica","Gentianales","Rubiaceae","Psychotria","Psychotria pervillei","Hermaphrodite","partially_self_compatible","low",13.42375,"Campanulate","actinomorphic",500,30,30,2.5,4.1,7,2,"shrub","Perennial",3.5
"689","Psychotria pervillei",47,0.147145322584472,"13_2_kaiser-bunbury_2011_seychelles_casse_dent","Gentianales","Rubiaceae","Psychotria","Psychotria pervillei","Hermaphrodite","partially_self_compatible","low",13.42375,"Campanulate","actinomorphic",500,30,30,2.5,4.1,7,2,"shrub","Perennial",3.5
"690","Psychotria pervillei",121,0.161994501564822,"13_3_kaiser-bunbury_2011_seychelles_copolia","Gentianales","Rubiaceae","Psychotria","Psychotria pervillei","Hermaphrodite","partially_self_compatible","low",13.42375,"Campanulate","actinomorphic",500,30,30,2.5,4.1,7,2,"shrub","Perennial",3.5
"691","Psychotria pervillei",3,0.123211148029063,"13_5_kaiser-bunbury_2011_seychelles_tea_plantation","Gentianales","Rubiaceae","Psychotria","Psychotria pervillei","Hermaphrodite","partially_self_compatible","low",13.42375,"Campanulate","actinomorphic",500,30,30,2.5,4.1,7,2,"shrub","Perennial",3.5
"692","Psychotria pervillei",19,0.0686025344938991,"13_6_kaiser-bunbury_2011_seychelles_trois_ferres","Gentianales","Rubiaceae","Psychotria","Psychotria pervillei","Hermaphrodite","partially_self_compatible","low",13.42375,"Campanulate","actinomorphic",500,30,30,2.5,4.1,7,2,"shrub","Perennial",3.5
"693","Pterocephalus hookeri",74,0.288257098124493,"5_1_fang_2008_china","Dipsacales","Caprifoliaceae","Pterocephalus","Pterocephalus hookeri","Hermaphrodite","self_compatible","low",14.3186,"Tube","actinomorphic",80,80,40,5,11,15,1,"herb","Perennial",0.3
"694","Pyrostria bibracteata",84,0.186958941850579,"11_1_kaiser-bunbury_2017_seychelles_bernica","Gentianales","Rubiaceae","Pyrostria","Pyrostria bibracteata","Dioecious","dioecious","none",0,"Campanulate","actinomorphic",1000,18,30,3.1,3.1,1,6,"shrub","Perennial",6
"695","Pyrostria bibracteata",50,0.266713743288713,"11_2_kaiser-bunbury_2017_seychelles_casse_dent","Gentianales","Rubiaceae","Pyrostria","Pyrostria bibracteata","Dioecious","dioecious","none",0,"Campanulate","actinomorphic",1000,18,30,3.1,3.1,1,6,"shrub","Perennial",6
"696","Pyrostria bibracteata",77,0.187973043632542,"11_4_kaiser-bunbury_2017_seychelles_reserve","Gentianales","Rubiaceae","Pyrostria","Pyrostria bibracteata","Dioecious","dioecious","none",0,"Campanulate","actinomorphic",1000,18,30,3.1,3.1,1,6,"shrub","Perennial",6
"697","Pyrostria bibracteata",5,0.281451561226072,"11_5_kaiser-bunbury_2017_seychelles_rosebelle","Gentianales","Rubiaceae","Pyrostria","Pyrostria bibracteata","Dioecious","dioecious","none",0,"Campanulate","actinomorphic",1000,18,30,3.1,3.1,1,6,"shrub","Perennial",6
"698","Pyrostria bibracteata",183,0.165568269493713,"11_6_kaiser-bunbury_2017_seychelles_salazie","Gentianales","Rubiaceae","Pyrostria","Pyrostria bibracteata","Dioecious","dioecious","none",0,"Campanulate","actinomorphic",1000,18,30,3.1,3.1,1,6,"shrub","Perennial",6
"699","Pyrostria bibracteata",29,0.0816384299852084,"11_7_kaiser-bunbury_2017_seychelles_tea_plantation","Gentianales","Rubiaceae","Pyrostria","Pyrostria bibracteata","Dioecious","dioecious","none",0,"Campanulate","actinomorphic",1000,18,30,3.1,3.1,1,6,"shrub","Perennial",6
"700","Pyrostria bibracteata",72,0.170562339358494,"11_8_kaiser-bunbury_2017_seychelles_trois_feres","Gentianales","Rubiaceae","Pyrostria","Pyrostria bibracteata","Dioecious","dioecious","none",0,"Campanulate","actinomorphic",1000,18,30,3.1,3.1,1,6,"shrub","Perennial",6
"701","Pyrostria fasciculata",32,0.258382616294944,"14_2_kaiser-bunbury_2010_mauritius_restored","Gentianales","Rubiaceae","Pyrostria","Pyrostria fasciculata","Hermaphrodite","self_compatible","low",11.4999333333333,"Tube","actinomorphic",1000,5,30,3.1,3.1,1,6,"tree","Perennial",6
"702","Ranunculus acris",44,0.64242488383723,"2_1_dicks_2002_england_shelfanger","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus acris","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",3,3,18.5,18.5,9.25,0.5,25,"herb","Perennial",0.575
"703","Ranunculus acris",17,0.583159100161453,"2_2_dicks_2002_england_hicklingbroad","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus acris","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",3,3,18.5,18.5,9.25,0.5,25,"herb","Perennial",0.575
"704","Ranunculus hispidus",70,0.305473995053116,"16_1_burkle_usa_2013","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus hispidus","Hermaphrodite","self_compatible","low",15.2231166666667,"Open","actinomorphic",5,1,26.5,26.5,11,2,30,"herb","Perennial",0.7
"705","Reseada luteola",20,0.267390606833604,"8_1_olesen_2002_azores","Brassicales","Resedaceae","Reseda","Reseda luteola","Hermaphrodite","self_compatible","low",23.30805,"Open","zygomorphic",750,75,30,5,3.5,0.7,14,"herb","Short lived",0.6
"706","Rhodiola rosea",6,0.666593831058433,"4_1_elberling_sweeden_1999","Saxifragales","Crassulaceae","Sedum","Sedum roseum","Dioecious","dioecious","none",0,"Open","actinomorphic",700,35,10,1.75,1,0.7,15,"herb","Perennial",0.13
"707","Rhododendron lapponicum",11,0.443156654656934,"4_1_elberling_sweeden_1999","Ericales","Ericaceae","Rhododendron","Rhododendron lapponicum","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",50,5,28,14,8,13,937,"shrub","Perennial",0.1
"708","Rhododendron lapponicum",4,0.595863050759216,"7_1_lundgren_2005_greenland","Ericales","Ericaceae","Rhododendron","Rhododendron lapponicum","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",50,5,28,14,8,13,937,"shrub","Perennial",0.1
"709","Richea continentis",19,0.447634716237606,"6_1_inouye_1988_australia","Ericales","Ericaceae","Richea","Richea continentis","Hermaphrodite","self_compatible","low",16.7607833333333,"Tube","actinomorphic",35,35,15,4.5,6.5,1,2,"shrub","Perennial",0.75
"710","Rosa rubiginosa",31,0.332761626628863,"17_2_arroyo_correa_new_zealand_2019_2","Rosales","Rosaceae","Rosa","Rosa rubiginosa","Hermaphrodite","self_compatible","high",84.9,"Open","actinomorphic",100,1,37,37,15,3.5,30,"shrub","Perennial",0.9
"711","Rosa rubiginosa",12,0.573521879018119,"17_3_arroyo_correa_new_zealand_2019_3","Rosales","Rosaceae","Rosa","Rosa rubiginosa","Hermaphrodite","self_compatible","high",84.9,"Open","actinomorphic",100,1,37,37,15,3.5,30,"shrub","Perennial",0.9
"712","Roscheria melanochaetes",167,0.543160264757217,"11_2_kaiser-bunbury_2017_seychelles_casse_dent","Arecales","Arecaceae","Roscheria","Roscheria melanochaetes","Monoecious","monoecious","none",0,"Spike","actinomorphic",60,60,72,1,1,4.85,250,"tree","Perennial",6.5
"713","Roscheria melanochaetes",147,0.636073861878416,"11_3_kaiser-bunbury_2017_seychelles_copolia","Arecales","Arecaceae","Roscheria","Roscheria melanochaetes","Monoecious","monoecious","none",0,"Spike","actinomorphic",60,60,72,1,1,4.85,250,"tree","Perennial",6.5
"714","Roscheria melanochaetes",15,0.780469822603001,"11_4_kaiser-bunbury_2017_seychelles_reserve","Arecales","Arecaceae","Roscheria","Roscheria melanochaetes","Monoecious","monoecious","none",0,"Spike","actinomorphic",60,60,72,1,1,4.85,250,"tree","Perennial",6.5
"715","Roscheria melanochaetes",183,0.645241856214218,"11_5_kaiser-bunbury_2017_seychelles_rosebelle","Arecales","Arecaceae","Roscheria","Roscheria melanochaetes","Monoecious","monoecious","none",0,"Spike","actinomorphic",60,60,72,1,1,4.85,250,"tree","Perennial",6.5
"716","Roscheria melanochaetes",163,0.494982273019708,"11_6_kaiser-bunbury_2017_seychelles_salazie","Arecales","Arecaceae","Roscheria","Roscheria melanochaetes","Monoecious","monoecious","none",0,"Spike","actinomorphic",60,60,72,1,1,4.85,250,"tree","Perennial",6.5
"717","Roscheria melanochaetes",121,0.581283430352539,"11_7_kaiser-bunbury_2017_seychelles_tea_plantation","Arecales","Arecaceae","Roscheria","Roscheria melanochaetes","Monoecious","monoecious","none",0,"Spike","actinomorphic",60,60,72,1,1,4.85,250,"tree","Perennial",6.5
"718","Roscheria melanochaetes",156,0.529366406223193,"11_8_kaiser-bunbury_2017_seychelles_trois_feres","Arecales","Arecaceae","Roscheria","Roscheria melanochaetes","Monoecious","monoecious","none",0,"Spike","actinomorphic",60,60,72,1,1,4.85,250,"tree","Perennial",6.5
"719","Roscheria melanochaetes",24,0.593760954446008,"13_2_kaiser-bunbury_2011_seychelles_casse_dent","Arecales","Arecaceae","Roscheria","Roscheria melanochaetes","Monoecious","monoecious","none",0,"Spike","actinomorphic",60,60,72,1,1,4.85,250,"tree","Perennial",6.5
"720","Roscheria melanochaetes",109,0.74445100315187,"13_3_kaiser-bunbury_2011_seychelles_copolia","Arecales","Arecaceae","Roscheria","Roscheria melanochaetes","Monoecious","monoecious","none",0,"Spike","actinomorphic",60,60,72,1,1,4.85,250,"tree","Perennial",6.5
"721","Roscheria melanochaetes",40,0.343827292140408,"13_5_kaiser-bunbury_2011_seychelles_tea_plantation","Arecales","Arecaceae","Roscheria","Roscheria melanochaetes","Monoecious","monoecious","none",0,"Spike","actinomorphic",60,60,72,1,1,4.85,250,"tree","Perennial",6.5
"722","Roscheria melanochaetes",69,0.722241494769254,"13_6_kaiser-bunbury_2011_seychelles_trois_ferres","Arecales","Arecaceae","Roscheria","Roscheria melanochaetes","Monoecious","monoecious","none",0,"Spike","actinomorphic",60,60,72,1,1,4.85,250,"tree","Perennial",6.5
"723","Rosmarinus officinalis",31,0.5620404936928,"1_3_bartomeus_spain_2008_medca_1_2","Lamiales","Lamiaceae","Rosmarinus","Rosmarinus officinalis","Hermaphrodite","self_compatible","low",13,"Tube","zygomorphic",3000,80,45,15,15,15,8,"shrub","Perennial",1
"724","Rosmarinus officinalis",5,0.52377997982461,"1_4_bartomeus_spain_2008_medca_2_3","Lamiales","Lamiaceae","Rosmarinus","Rosmarinus officinalis","Hermaphrodite","self_compatible","low",13,"Tube","zygomorphic",3000,80,45,15,15,15,8,"shrub","Perennial",1
"725","Rosmarinus officinalis",14,0.120326180804868,"12_1_bartomeus_spain_2008_Aznalcazar_unp","Lamiales","Lamiaceae","Rosmarinus","Rosmarinus officinalis","Hermaphrodite","self_compatible","low",13,"Tube","zygomorphic",3000,80,45,15,15,15,8,"shrub","Perennial",1
"726","Rosmarinus officinalis",155,0.378102421458985,"12_10_bartomeus_spain_2008_Lasmulas_unp","Lamiales","Lamiaceae","Rosmarinus","Rosmarinus officinalis","Hermaphrodite","self_compatible","low",13,"Tube","zygomorphic",3000,80,45,15,15,15,8,"shrub","Perennial",1
"727","Rosmarinus officinalis",2,0,"12_13_bartomeus_spain_2008_Pinodelcuervo_unp","Lamiales","Lamiaceae","Rosmarinus","Rosmarinus officinalis","Hermaphrodite","self_compatible","low",13,"Tube","zygomorphic",3000,80,45,15,15,15,8,"shrub","Perennial",1
"728","Rosmarinus officinalis",101,0.550617631011098,"12_14_bartomeus_spain_2008_Urbanizaciones_unp","Lamiales","Lamiaceae","Rosmarinus","Rosmarinus officinalis","Hermaphrodite","self_compatible","low",13,"Tube","zygomorphic",3000,80,45,15,15,15,8,"shrub","Perennial",1
"729","Rosmarinus officinalis",64,0.291111063937024,"12_15_bartomeus_spain_2008_Villamanriqueeste_unp","Lamiales","Lamiaceae","Rosmarinus","Rosmarinus officinalis","Hermaphrodite","self_compatible","low",13,"Tube","zygomorphic",3000,80,45,15,15,15,8,"shrub","Perennial",1
"730","Rosmarinus officinalis",58,0.236471776765843,"12_16_bartomeus_spain_2008_Villamanriquesur_unp","Lamiales","Lamiaceae","Rosmarinus","Rosmarinus officinalis","Hermaphrodite","self_compatible","low",13,"Tube","zygomorphic",3000,80,45,15,15,15,8,"shrub","Perennial",1
"731","Rosmarinus officinalis",127,0.0350325475514383,"12_2_bartomeus_spain_2008_ConventodelaLuz_unp","Lamiales","Lamiaceae","Rosmarinus","Rosmarinus officinalis","Hermaphrodite","self_compatible","low",13,"Tube","zygomorphic",3000,80,45,15,15,15,8,"shrub","Perennial",1
"732","Rosmarinus officinalis",8,0.239835264853234,"12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp","Lamiales","Lamiaceae","Rosmarinus","Rosmarinus officinalis","Hermaphrodite","self_compatible","low",13,"Tube","zygomorphic",3000,80,45,15,15,15,8,"shrub","Perennial",1
"733","Rosmarinus officinalis",29,0.542843459137765,"12_5_bartomeus_spain_2008_Elpinar_unp","Lamiales","Lamiaceae","Rosmarinus","Rosmarinus officinalis","Hermaphrodite","self_compatible","low",13,"Tube","zygomorphic",3000,80,45,15,15,15,8,"shrub","Perennial",1
"734","Rosmarinus officinalis",165,0.173629118700786,"12_6_bartomeus_spain_2008_Elpozo_unp","Lamiales","Lamiaceae","Rosmarinus","Rosmarinus officinalis","Hermaphrodite","self_compatible","low",13,"Tube","zygomorphic",3000,80,45,15,15,15,8,"shrub","Perennial",1
"735","Rosmarinus officinalis",19,0.364686122814901,"12_8_bartomeus_spain_2008_LaCunya_unp","Lamiales","Lamiaceae","Rosmarinus","Rosmarinus officinalis","Hermaphrodite","self_compatible","low",13,"Tube","zygomorphic",3000,80,45,15,15,15,8,"shrub","Perennial",1
"736","Rosmarinus officinalis",85,0.408731302874158,"12_9_bartomeus_spain_2008_LaRocina_unp","Lamiales","Lamiaceae","Rosmarinus","Rosmarinus officinalis","Hermaphrodite","self_compatible","low",13,"Tube","zygomorphic",3000,80,45,15,15,15,8,"shrub","Perennial",1
"737","Roussea simplex",127,0.299594823957311,"14_2_kaiser-bunbury_2010_mauritius_restored","Asterales","Rousseaceae","Roussea","Roussea simplex","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",100,1,25,25,25,15,2572,"tree","Perennial",5
"738","Rubus alcefolius",4,0.271455386397603,"14_1_kaiser-bunbury_2010_mauritius_control","Rosales","Rosaceae","Rubus","Rubus alceifolius","Hermaphrodite","self_incompatible","low",5.33830714285714,"Open","actinomorphic",100,6,90,17.5,15,10,75,"shrub","Perennial",2.5
"739","Rubus fruticosus",49,0.162091635601152,"18_1_bundgaard_2003_denmark","Rosales","Rosaceae","Rubus","Rubus plicatus","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",100,5,64,16,5,4,75,"shrub","Perennial",1.5
"740","Ruellia tweediana",15,0.00859090935055925,"10_1_souza_2017_brazil_chaco","Lamiales","Acanthaceae","Ruellia","Ruellia tweediana","Hermaphrodite","self_compatible","low",13,"Campanulate","zygomorphic",50,8,37.5,37.5,18.2,4,12,"herb","Perennial",5.11
"741","Ruta chalepensis",22,0.608283637513412,"1_6_bartomeus_spain_2008_selop_1_2","Sapindales","Rutaceae","Ruta","Ruta chalepensis","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",25,10,25,10,4,5,11.5,"herb","Perennial",0.65
"742","Salix fragilis",137,0.669185453557443,"9_1_small_1976_canada","Malpighiales","Salicaceae","Salix","Salix fragilis","Dioecious","dioecious","none",0,"Spike","actinomorphic",45000,90,10,1,1,0.3,23,"tree","Perennial",12
"743","Salix lanata",9,0.614856113279579,"4_1_elberling_sweeden_1999","Malpighiales","Salicaceae","Salix","Salix lanata","Dioecious","dioecious","none",0,"Brush","actinomorphic",10000,200,20,1,1,1.88,59,"shrub","Perennial",0.75
"744","Salix polaris",14,0.652614643397678,"4_1_elberling_sweeden_1999","Malpighiales","Salicaceae","Salix","Salix polaris","Dioecious","dioecious","none",0,"Brush","actinomorphic",200,8,9,0.5,2,0.95,14.5,"shrub","Perennial",0.05
"745","Salix repens",172,1,"3_1_dupont_2009_denmark_hl","Malpighiales","Salicaceae","Salix","Salix repens","Dioecious","dioecious","none",0,"Brush","actinomorphic",4500,60,8.5,0.5,1,1.15,23,"herb","Perennial",0.3
"746","Salix repens",5,1,"3_2_dupont_2009_denmark_ib","Malpighiales","Salicaceae","Salix","Salix repens","Dioecious","dioecious","none",0,"Brush","actinomorphic",4500,60,8.5,0.5,1,1.15,23,"herb","Perennial",0.3
"747","Salix repens",9,1,"3_3_dupont_2009_denmark_so","Malpighiales","Salicaceae","Salix","Salix repens","Dioecious","dioecious","none",0,"Brush","actinomorphic",4500,60,8.5,0.5,1,1.15,23,"herb","Perennial",0.3
"748","Salix reticulata",9,0.586780202971763,"4_1_elberling_sweeden_1999","Malpighiales","Salicaceae","Salix","Salix reticulata","Dioecious","dioecious","none",0,"Brush","actinomorphic",750,50,4.5,0.75,1.35,0.25,26,"shrub","Perennial",0.09
"749","Salvia przewalskii",114,0.200812816076147,"5_1_fang_2008_china","Lamiales","Lamiaceae","Salvia","Salvia przewalskii","Hermaphrodite","self_compatible","none",0,"Tube","zygomorphic",18,18,15,15,30,30,4,"herb","Perennial",0.3
"750","Sanicula odorata",480,0.616603775330818,"16_1_burkle_usa_2013","Apiales","Apiaceae","Sanicula","Sanicula odorata","Monoecious","monoecious","medium",50.5,"Tube","actinomorphic",150,250,20,2.4,0.7,1.3,2,"herb","Perennial",0.55
"751","Saussurea wardii",116,0.199333062507433,"5_1_fang_2008_china","Asterales","Asteraceae","Saussurea","Saussurea wardii","Hermaphrodite","self_incompatible","low",13,"Capitulum","actinomorphic",15,15,50,30,12.5,15,20,"herb","Perennial",0.29
"752","Saxifraga aizoides",30,0.641325418988745,"4_1_elberling_sweeden_1999","Saxifragales","Saxifragaceae","Saxifraga","Saxifraga aizoides","Hermaphrodite","self_compatible","high",100,"Open","actinomorphic",35,5,33,11.5,5.51755,2.75,150,"shrub","Perennial",0.1
"753","Saxifraga tricuspidata",53,0.579092700092433,"7_1_lundgren_2005_greenland","Saxifragales","Saxifragaceae","Saxifraga","Saxifraga tricuspidata","Hermaphrodite","self_compatible","medium",45,"Open","actinomorphic",50,5,40,12,6,1,75,"herb","Perennial",0.15
"754","Scabiosa stellata",24,0.486129311835868,"1_5_bartomeus_spain_2008_miqop_1_2","Dipsacales","Caprifoliaceae","Scabiosa","Scabiosa stellata","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",200,40,30,2.4,9.1,14,2,"herb","Short lived",0.25
"755","Scaevola frutescens",141,0.161438136881153,"8_2_olesen_2002_mauritius","Asterales","Goodeniaceae","Scaevola","Scaevola taccada","Hermaphrodite","partially_self_compatible","low",12,"Tube","zygomorphic",100,20,21,21,15,14,4,"shrub","Perennial",1.5
"756","Schinus fasciculata",6,1,"15_1_peralta_2006_mendoza_site_1","Sapindales","Anacardiaceae","Schinus","Schinus fasciculata","Dioecious","dioecious","none",0,"Open","actinomorphic",5500,15,10,2,1,2,1,"tree","Perennial",2
"757","Schinus fasciculata",5,0.482306706125605,"15_2_peralta_2006_mendoza_site_2","Sapindales","Anacardiaceae","Schinus","Schinus fasciculata","Dioecious","dioecious","none",0,"Open","actinomorphic",5500,15,10,2,1,2,1,"tree","Perennial",2
"758","Schinus fasciculata",95,0.56889923650408,"15_3_peralta_2006_mendoza_site_3","Sapindales","Anacardiaceae","Schinus","Schinus fasciculata","Dioecious","dioecious","none",0,"Open","actinomorphic",5500,15,10,2,1,2,1,"tree","Perennial",2
"759","Schinus fasciculata",13,0.64765095250191,"15_4_peralta_2006_mendoza_site_4","Sapindales","Anacardiaceae","Schinus","Schinus fasciculata","Dioecious","dioecious","none",0,"Open","actinomorphic",5500,15,10,2,1,2,1,"tree","Perennial",2
"760","Scoparia montevidensis",8,0.664545373349469,"10_1_souza_2017_brazil_chaco","Lamiales","Plantaginaceae","Scoparia","Scoparia montevidensis","Hermaphrodite","self_compatible","medium",55.428825,"Open","actinomorphic",60,5,4,4,2.25,15,100,"herb","Short lived",0.175
"761","Scorzonera humilis",194,1,"3_2_dupont_2009_denmark_ib","Asterales","Asteraceae","Scorzonera","Scorzonera humilis","Hermaphrodite","partially_self_compatible","low",13,"Open","actinomorphic",5,1,27.5,27.5,5.1,3,35,"herb","Perennial",0.3
"762","Sedum sediforme",7,0.600133799901346,"1_2_bartomeus_spain_2008_fraop_1_2","Saxifragales","Crassulaceae","Sedum","Sedum sediforme","Hermaphrodite","partially_self_compatible","low",13,"Open","actinomorphic",30,30,50,12.6,3,2,15,"herb","Perennial",0.425
"763","Sedum sediforme",16,0.418769050339975,"1_6_bartomeus_spain_2008_selop_1_2","Saxifragales","Crassulaceae","Sedum","Sedum sediforme","Hermaphrodite","partially_self_compatible","low",13,"Open","actinomorphic",30,30,50,12.6,3,2,15,"herb","Perennial",0.425
"764","Senecio gunnii",21,0.345112311341965,"6_1_inouye_1988_australia","Asterales","Asteraceae","Senecio","Senecio gunnii","Hermaphrodite","self_compatible","high",88,"Capitulum","actinomorphic",20,20,3,3,2,0.5,32.5,"herb","Perennial",0.65
"765","Senecio lautus",30,0.244542048020816,"6_1_inouye_1988_australia","Asterales","Asteraceae","Senecio","Senecio lautus","Hermaphrodite","self_compatible","high",88,"Capitulum","actinomorphic",20,5,18,18,2,4.5,67.5,"herb","Short lived",0.45
"766","Senecio pectinatus",2,0.104519782734764,"6_1_inouye_1988_australia","Asterales","Asteraceae","Senecio","Senecio pectinatus","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",3,3,25,25,8,4.5,87,"herb","Perennial",0.2
"767","Senecio pinnatus",6,0.417241239047311,"15_4_peralta_2006_mendoza_site_4","Asterales","Asteraceae","Senecio","Senecio pinnatus","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",50,3,45,15,5,5.35,87,"herb","Perennial",0.25
"768","Senna aphylla",11,0.649003214926989,"15_1_peralta_2006_mendoza_site_1","Fabales","Fabaceae","Senna","Senna aphylla","Hermaphrodite","self_compatible","none",0,"Open","zygomorphic",200,25,80,20,10,10,24,"shrub","Perennial",1.5
"769","Senna aphylla",23,0.796006411458615,"15_2_peralta_2006_mendoza_site_2","Fabales","Fabaceae","Senna","Senna aphylla","Hermaphrodite","self_compatible","none",0,"Open","zygomorphic",200,25,80,20,10,10,24,"shrub","Perennial",1.5
"770","Senna aphylla",39,0.805878261082159,"15_4_peralta_2006_mendoza_site_4","Fabales","Fabaceae","Senna","Senna aphylla","Hermaphrodite","self_compatible","none",0,"Open","zygomorphic",200,25,80,20,10,10,24,"shrub","Perennial",1.5
"771","Sida rhombifolia",8,0.00126123255188973,"10_1_souza_2017_brazil_chaco","Malvales","Malvaceae","Sida","Sida rhombifolia","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",50,3,17.5,17.5,2,4.75,7.5,"shrub","Perennial",1.3
"772","Sideroxylon cinereum",304,0.316717588896154,"14_1_kaiser-bunbury_2010_mauritius_control","Ericales","Sapotaceae","Sideroxylon","Sideroxylon cinereum","Dioecious","dioecious","none",0,"Open","actinomorphic",7872.6208891238,2,30,5.1,4.5,2,4.5,"tree","Perennial",12.5
