network number,site ID,habitat type,plant,family (plant),growth form,taxonomic resolution plant,pollinator,taxonomic resolution (pollinator),"individuals caught (1=yes, 0=no)",family (pollinator),order (pollinator),group (pollinator) ,interaction strength,Identifier,Literature used,Comment
cof341029,cof3,coffee plantation,Solanum nigrum,Solanaceae,herbaceous,Species,Lasioglossum sp.3,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,1,C. Eardley,1,
cof341199,cof3,coffee plantation,Ageratum conyzoides,Asteraceae,herbaceous,Species,Vespidae sp.18,morphospecies (family),1,Vespidae,Hymenoptera,non-bee Aculeata,1,R. Peters,27,
cof341199,cof3,coffee plantation,Ageratum conyzoides,Asteraceae,herbaceous,Species,Halictus sp.1,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,1,C. Eardley,1,
cof341199,cof3,coffee plantation,Ageratum conyzoides,Asteraceae,herbaceous,Species,"Apis mellifera (Linnaeus, 1758)",Species,1,Apidae,Hymenoptera,Apoidea:Bee,5,A. Claßen,14,
cof341199,cof3,coffee plantation,Ageratum conyzoides,Asteraceae,herbaceous,Species,"Ceratina nyassensis (Strand, 1912)",Species,1,Apidae,Hymenoptera,Apoidea:Bee,1,C. Eardley,5,
cof341199,cof3,coffee plantation,Ageratum conyzoides,Asteraceae,herbaceous,Species,"Chrysotoxum continum (Bezzi, 1915)",Species,1,Syrphidae,Diptera,Syrphid,1,A. Ssymank,15-26*,
cof341199,cof3,coffee plantation,Ageratum conyzoides,Asteraceae,herbaceous,Species,"Megachile venusta (Smith, 1853)",Species,1,Megachilidae,Hymenoptera,Apoidea:Bee,1,C. Eardley,"6,7,8",
cof341199,cof3,coffee plantation,Ageratum conyzoides,Asteraceae,herbaceous,Species,"Paragus borbonicus (Macquart, 1842)",Species,1,Syrphidae,Diptera,Syrphid,1,A. Ssymank,15-26*,
cof341199,cof3,coffee plantation,Argemone mexicana,Papaveraceae,herbaceous,Species,Lasioglossum sp.1,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,1,C. Eardley,1,
cof341199,cof3,coffee plantation,Argemone mexicana,Papaveraceae,herbaceous,Species,Lasioglossum sp.10,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,1,C. Eardley,1,
